MEETING_KEY,SESSION_KEY,DRIVER_NUMBER,I1_SPEED,I2_SPEED,ST_SPEED,DATE_START_LAP,LAP_DURATION,DURATION_SECTOR_1,DURATION_SECTOR_2,DURATION_SECTOR_3,LAP_NUMBER,AIR_TEMPERATURE,HUMIDITY,PRESSURE,RAINFALL,TRACK_TEMPERATURE,WIND_DIRECTION,WIND_SPEED,LOCATION,COUNTRY_NAME,CIRCUIT_SHORT_NAME,SESSION_TYPE,SESSION_NAME,DATE_START_SESSION,DATE_END_SESSION,GMT_OFFSET,YEAR,CIRCUIT,TYPE,DIRECTION,TURNS,LENGTH_KM
1141,7768,22,239,269,312,2023-03-04T15:02:00Z,92.132,29.548,39.539,23.045,2,24.4,17,1017.5,0,29.1,0,0.4,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,77,239,268,317,2023-03-04T15:38:00Z,92.17,29.404,39.613,23.153,8,23.9,19,1017.7,0,27.9,323,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,10,241,269,324,2023-03-04T15:16:00Z,92.181,29.33,39.764,23.087,2,24.2,16,1017.5,0,28.7,352,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,4,240,267,317,2023-03-04T15:38:00Z,92.191,29.492,39.628,23.071,9,23.9,19,1017.7,0,27.9,323,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,24,240,268,316,2023-03-04T15:38:00Z,92.233,29.565,39.622,23.046,8,23.9,19,1017.7,0,27.9,323,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,21,239,270,316,2023-03-04T15:24:00Z,92.279,29.514,39.699,23.066,8,24.2,15,1017.7,0,28.6,94,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,18,241,267,316,2023-03-04T15:38:00Z,92.305,29.581,39.779,22.945,8,23.9,19,1017.7,0,27.9,323,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,27,240,271,317,2023-03-04T15:14:00Z,92.36,29.533,39.687,23.14,4,24.3,16,1017.5,0,28.7,319,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,31,240,269,320,2023-03-04T15:38:00Z,92.367,29.418,39.796,23.153,8,23.9,19,1017.7,0,27.9,323,0.6,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
1141,7768,55,239,269,324,2023-03-04T15:03:00Z,92.408,29.425,39.878,23.105,2,24.4,16,1017.5,0,29.1,109,0,Sakhir,Bahrain,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00Z,2023-03-04T16:00:00Z,03:00:00,2023,Bahrain International Circuit *,Race circuit,Clockwise,15,5.412
